Facility_Id,City,State,Zip_Code,Address,County,Industry_Type_Sectors,Total_reported_direct_emissions,CO2_emissions_nonbiogenic ,Methane_CH4_ emissions 
1006453,FREEPORT,TX,77541,5618 HIGHWAY 332 EAST,BRAZORIA COUNTY,Other,132692.3,132555.3,62.5
1004767,ADDIS,LA,70710,9750 LA Highway 1 South,WEST BATON ROUGE PARISH,Other,60714.472,60652,28.5
1004867,PLAQUEMINE,LA,70764,"26270 HIGHWAY 405, RIVER ROAD SOUTH",IBERVILLE PARISH,Chemicals,1065325.536,1064527.1,364.25
1003104,Wheeling,WV,26058,258 NORTH FORK ROAD,OHIO COUNTY,Waste,22166.098,60.3,22105.5
1002124,CARROLLTON,MO,64633,26530 E HWY 24,CARROLL COUNTY,Other,109501.988,109389.1,51.5
1004263,SELKIRK,NY,12158,1 NORYL AVENUE,ALBANY COUNTY,Other,103723.708,103616.3,49
1003966,ROTTERDAM JUNCTION,NY,12150,1000 MAIN STREET,SCHENECTADY COUNTY,Other,29885.726,29852.5,14.75
1001870,FREEPORT,TX,77541,702 FM 523,BRAZORIA COUNTY,Chemicals,72789.676,72714.6,34.25
1011740,Orangeburg,SC,29116,725 Cannon Bridge Road,ORANGEBURG COUNTY,"Chemicals,Waste",75150.954,59125.3,15989
1005119,SIDNEY,MT,59270,35140 County Road 125,RICHLAND COUNTY,Other,110569.916,110072.9,186.5
1000247,CHATTANOOGA,TN,37405,1201 SUCK CREEK ROAD,HAMILTON COUNTY,Minerals,733269.79,731969.2,457.25
1002437,STRATFORD,CT,06615,6900 MAIN ST.,FAIRFIELD COUNTY,Other,56493.13,56433.6,26.75
1005210,BROWNSVILLE,TX,78520,94 W. 13th Street,CAMERON COUNTY,Power Plants,42247.744,42205,19.5
1009291,EVANSTON,WY,82930,2990 COUNTY ROAD 180,UINTA COUNTY,"Petroleum Product Suppliers,Refineries",11342.89,10791.4,475.5
1007816,SIMI VALLEY,CA,93065,2801 NORTH MADERA ROAD,VENTURA COUNTY,Waste,190566.5,9,190557.5
1004194,SOUTH WEST CITY,MO,64863,10700 HIGHWAY 43 NORTH,MCDONALD COUNTY,"Other,Waste",94008.26,63824,30148.5
1003087,ROCK SPRINGS,WY,82901,515 S HWY 430,SWEETWATER COUNTY,Chemicals,447011.79,446995.6,7.25
1007218,CASPER,WY,82609,5700 EAST HIGHWAY 20/26,NATRONA COUNTY,"Petroleum Product Suppliers,Refineries",306591.94,300102.8,5616
1002809,SIOUX CENTER,IA,51250,3890 GARFIELD AVENUE,SIOUX COUNTY,Other,63611.06,63545.3,30
1005683,JACKSON,NE,68743,1501 KNOX BOULEVARD,DAKOTA COUNTY,Other,105225.404,105116.9,49.5
1014345,Houston,TX,77049,18511 Beaumont Highway,HARRIS COUNTY,Power Plants,54775.696,54747.2,13
1012436,Austin,MN,55912,52563 243rd Streed,MOWER COUNTY,"Other,Waste",53864.8,10.8,53854
1000354,BLOOMINGTON,MN,55425,2401 E. 86TH ST.,HENNEPIN COUNTY,Other,91811.85002,6416,3
